source,desc,alpha,rho,n_params,note
IMAGEN_mats_mid_bsl_kirby_c_estimated_k_all_trials_fu2,positive,0.001,0.0115209446233709,3.53,fixed alpha 0.001
IMAGEN_mats_mid_bsl_kirby_c_estimated_k_all_trials_fu2,positive,0.001,-0.0876854158938874,3.53,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.1258925411794167,0.0706512579650888,4246.469999999999,max rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.1,0.0697090380622723,3364.21,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.1,-0.0009422199028164963,3364.21,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.05,0.0682469537633579,1664.64,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.05,-0.002404304201730892,1664.64,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.01,0.0627166518099512,329.18,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.01,-0.007934606155137594,329.18,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.005,0.0528858489104749,163.0,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.005,-0.017765409054613893,163.0,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.001,0.0404310727525638,32.87,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,all,0.001,-0.030220185212524994,32.87,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.3162277660168379,0.0731243778071234,6039.93,max rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.1,0.0702796104216273,1928.8,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.1,-0.0028447673854961053,1928.8,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.05,0.0709383968118033,968.31,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.05,-0.0021859809953200943,968.31,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.01,0.0688942258633769,200.9,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.01,-0.004230151943746499,200.9,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.005,0.0607241468561573,101.71,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.005,-0.012400230950966103,101.71,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.001,0.0499192873079589,21.99,fixed alpha 0.001
