run_index,spearman r,best_dim,mask_type
1,0.028682931583317497,2.0,negative
2,-0.02427977239656807,2.0,negative
3,0.026440199481767623,2.0,negative
4,-0.01745233443786995,2.0,negative
5,-0.020494937966341043,250.0,negative
6,-0.03210980527955715,3.0,negative
7,-0.011830234196346857,411.0,negative
8,-0.022045014166312715,1.0,negative
9,-0.0072031698613781794,2.0,negative
10,0.029853445721015733,2.0,negative
11,0.002901804160446631,1.0,negative
12,-0.04256647381709252,2.0,negative
13,-8.134988839127585e-05,411.0,negative
14,-0.04792646379203423,500.0,negative
15,0.028015856709854736,453.0,negative
16,-0.00733835423473427,4.0,negative
17,-0.029211020867102276,4.0,negative
18,-0.021559674094513433,3.0,negative
19,-0.06391189052054885,1.0,negative
20,-0.020619948779769644,4.0,negative
average,-0.012636810332107912,103.0,negative
