run_index,spearman r,best_dim,mask_type
1,0.10693535775532208,6.0,negative
2,0.12266115715070997,38.0,negative
3,0.13244303898190715,10.0,negative
4,0.12513612758590414,68.0,negative
5,0.10707574658042722,102.0,negative
6,0.1258643579911454,31.0,negative
7,0.12996992886374875,51.0,negative
8,0.11061060474200146,11.0,negative
9,0.06462131198311641,75.0,negative
10,0.10416687114901516,31.0,negative
11,0.11802803292230754,10.0,negative
12,0.09928818507188977,21.0,negative
13,0.10489770599810647,19.0,negative
14,0.1082570246441845,56.0,negative
15,0.13032142646607417,102.0,negative
16,0.0918028692721555,102.0,negative
17,0.08575637847740446,8.0,negative
18,0.09115514408663765,75.0,negative
19,0.14696329247780598,38.0,negative
20,0.12350156002241615,46.0,negative
average,0.11147280611111401,45.0,negative
