run_index,spearman r,best_dim,mask_type
1,0.03702933309418258,4.0,positive
2,0.04499149735025032,46.0,positive
3,0.01732025264944843,2.0,positive
4,-0.0074972038867087785,168.0,positive
5,0.052606493336743845,62.0,positive
6,-0.047512087819607744,186.0,positive
7,0.01556958825147251,38.0,positive
8,0.04126083250101811,92.0,positive
9,0.04513563596737305,276.0,positive
10,-0.022911701714079847,453.0,positive
11,-0.048542249685388124,186.0,positive
12,-0.011398634685965251,113.0,positive
13,0.0869030597450474,7.0,positive
14,-0.03773582493558209,3.0,positive
15,0.055233021477453036,25.0,positive
16,0.007749998068673402,4.0,positive
17,-0.03052803157450027,56.0,positive
18,0.001069315578642,411.0,positive
19,0.016455390859330225,4.0,positive
20,-0.002244468537363056,68.0,positive
average,0.01064771080202199,110.2,positive
