run_index,spearman r,best_dim,mask_type
1,0.00853667839069645,226.0,all
2,-0.008594002074746166,411.0,all
3,0.008444853479598956,226.0,all
4,0.021782669583244995,83.0,all
5,0.034653204603957204,28.0,all
6,0.03620536897780692,205.0,all
7,0.018279159544799372,337.0,all
8,0.019110902005299284,205.0,all
9,0.05131508248933254,42.0,all
10,0.0313254298108747,125.0,all
11,0.044770806921353316,500.0,all
12,-0.018527670743264894,372.0,all
13,0.0415325585085306,125.0,all
14,0.00588577905325098,102.0,all
15,0.0100200962197544,453.0,all
16,0.028121505815035322,138.0,all
17,0.017550581104003208,500.0,all
18,0.02091283385965133,372.0,all
19,0.05722065496400783,75.0,all
20,0.03295483226550569,12.0,all
average,0.0230750662389346,226.85,all
