run_index,spearman r,best_dim,mask_type
1,0.07760067619175043,19.0,positive
2,0.12788969888160864,14.0,positive
3,0.05006748199033274,17.0,positive
4,0.08994711896273563,10.0,positive
5,0.09684669140564856,28.0,positive
6,0.12598435493537186,10.0,positive
7,0.1422667012224652,11.0,positive
8,0.07182309209479394,10.0,positive
9,0.05290142012822703,15.0,positive
10,0.10469493215813452,8.0,positive
11,0.12787380047782052,10.0,positive
12,0.10587351119555086,15.0,positive
13,0.059230105489691647,9.0,positive
14,0.09252070736980415,15.0,positive
15,0.1117732419057587,14.0,positive
16,0.1007947221627861,15.0,positive
17,0.08067515034343589,10.0,positive
18,0.10939114114653893,14.0,positive
19,0.07611683292155179,6.0,positive
20,0.1191730258410074,7.0,positive
average,0.09617222034125074,12.85,positive
