run_index,spearman r,best_dim,mask_type
1,0.049771510519481574,68.0,all
2,0.021101526226275685,34.0,all
3,-0.009091134636561358,56.0,all
4,0.054550314779096595,68.0,all
5,0.005855088753110511,113.0,all
6,0.011603598732850716,92.0,all
7,0.0019873704411034255,62.0,all
8,-0.000911148658029492,92.0,all
9,0.07195748806569051,83.0,all
10,0.03604489387982756,68.0,all
11,0.0017821915895359134,17.0,all
12,0.044718763019125786,102.0,all
13,0.06382570710581933,113.0,all
14,0.08833299291178531,46.0,all
15,-0.0036625732275896413,62.0,all
16,0.014286548345952483,68.0,all
17,0.05738568930760322,42.0,all
18,0.036732778965489085,125.0,all
19,0.04074036563695448,75.0,all
20,0.0675491239139521,62.0,all
average,0.03272805478357369,72.4,all
