run_index,spearman r,best_dim,mask_type
1,0.014518938484075618,25.0,all
2,-0.018623817516238046,23.0,all
3,-0.02099170325837591,17.0,all
4,-0.008765179035020942,2.0,all
5,0.001296531283810098,3.0,all
6,-0.0059712918849205545,226.0,all
7,-0.011026229430614078,51.0,all
8,0.0006891163666965625,28.0,all
9,0.003944291017791233,68.0,all
10,0.02687548712144239,92.0,all
11,0.006412763527499453,1.0,all
12,-0.03832310247949585,4.0,all
13,-0.03540648169963745,34.0,all
14,0.014589198939095736,6.0,all
15,0.028487173837425373,500.0,all
16,0.00960709944540804,305.0,all
17,0.04420060519467297,12.0,all
18,-0.008969074400913709,28.0,all
19,0.015464744427850516,8.0,all
20,0.004543880089904844,5.0,all
average,0.0011276475015228149,71.9,all
