run_index,spearman r,best_dim,mask_type
1,0.12130161199576889,305.0,all
2,0.08864580985288802,83.0,all
3,0.08347991234175722,21.0,all
4,0.09446008018169563,337.0,all
5,0.08251427839696364,62.0,all
6,0.0831615958007762,7.0,all
7,0.05870378826483834,42.0,all
8,0.08972328977089145,62.0,all
9,0.09764948043728543,168.0,all
10,0.11942978668880096,186.0,all
11,0.09525196603791039,46.0,all
12,0.07678966245381473,337.0,all
13,0.14244738669425036,411.0,all
14,0.10282432804396113,337.0,all
15,0.1101366676897802,46.0,all
16,0.1343690165071908,51.0,all
17,0.09728211272331787,15.0,all
18,0.09088132984759986,34.0,all
19,0.08421199761153096,186.0,all
20,0.10862667731044294,11.0,all
average,0.09809453893257325,137.35,all
