run_index,spearman r,best_dim,mask_type
1,0.022312954348657228,25.0,positive
2,0.012949637884590434,11.0,positive
3,0.05917299602933867,7.0,positive
4,0.04933887728840075,12.0,positive
5,0.015615398923152246,15.0,positive
6,0.019776752453893192,92.0,positive
7,0.03595663115880862,13.0,positive
8,0.031836291197434106,411.0,positive
9,0.0055645712746272835,17.0,positive
10,0.05944334128719868,11.0,positive
11,0.06563837696534236,19.0,positive
12,0.04897181165844895,14.0,positive
13,-0.00023382154605894052,7.0,positive
14,0.06337332989861075,14.0,positive
15,0.0805942600128144,25.0,positive
16,0.07575085291722582,138.0,positive
17,0.030726440281597794,23.0,positive
18,0.049105260461235985,7.0,positive
19,0.0280892235706665,8.0,positive
20,0.013235602263535307,500.0,positive
average,0.038360939416475996,68.45,positive
