run_index,spearman r,best_dim,mask_type
1,0.0399209487298579,42.0,negative
2,0.0649702912702324,500.0,negative
3,0.013663123357731741,12.0,negative
4,0.03371057431567541,25.0,negative
5,0.031792320050508194,23.0,negative
6,0.0567735395342129,42.0,negative
7,0.04780825493573045,500.0,negative
8,0.05419632811757062,453.0,negative
9,0.03695039075459591,500.0,negative
10,-0.0017962971967721577,17.0,negative
11,0.0528220486272359,23.0,negative
12,0.03776671351631817,15.0,negative
13,0.02095263938863228,6.0,negative
14,-0.0019584739019306656,23.0,negative
15,0.032048313106437354,13.0,negative
16,0.033044619207965704,25.0,negative
17,0.044669694828976335,19.0,negative
18,0.024194577548326057,21.0,negative
19,0.04405223220788726,19.0,negative
20,0.022504389654699492,23.0,negative
average,0.034404311402694565,115.05,negative
