run_index,spearman r,best_dim,mask_type
1,0.03247497779532864,152.0,positive
2,0.07978071925379074,46.0,positive
3,0.018107414470934027,83.0,positive
4,0.023501264192400166,23.0,positive
5,0.050261710815634936,186.0,positive
6,0.08568310989095028,226.0,positive
7,0.043421366932205545,226.0,positive
8,0.04349983045398214,19.0,positive
9,0.054135109471380394,25.0,positive
10,0.05676558380759541,21.0,positive
11,0.06714914332688227,168.0,positive
12,-0.006724501941611378,17.0,positive
13,0.03649288587841349,152.0,positive
14,0.04421262487861898,113.0,positive
15,0.07208301570887406,102.0,positive
16,0.055227338809427484,28.0,positive
17,0.01913827660076333,138.0,positive
18,0.0402446802603226,23.0,positive
19,0.07134756262274142,186.0,positive
20,0.062382173938548065,68.0,positive
average,0.047459214358359134,100.1,positive
