run_index,spearman r,best_dim,mask_type
1,0.10310316325553415,75.0,positive
2,0.050774098973617066,38.0,positive
3,0.04349506866772417,56.0,positive
4,0.08065576771614368,205.0,positive
5,0.07734646195820742,92.0,positive
6,0.09716496929871961,83.0,positive
7,0.06672156437357253,38.0,positive
8,0.1217162362979729,83.0,positive
9,0.07783963571823838,305.0,positive
10,0.0887946685220232,83.0,positive
11,0.08962096846331186,68.0,positive
12,0.05322623806131216,51.0,positive
13,0.07668081257365292,62.0,positive
14,0.05146648516664562,56.0,positive
15,0.08373040019433226,42.0,positive
16,0.036857783977220254,453.0,positive
17,0.07197710113890275,62.0,positive
18,0.10589315663738695,46.0,positive
19,0.07938357992936354,83.0,positive
20,0.04581953913604025,83.0,positive
average,0.07511338500299608,103.2,positive
