run_index,spearman r,best_dim,mask_type
1,0.07551237815700716,42.0,negative
2,0.05557819395070053,152.0,negative
3,0.047877268401758655,168.0,negative
4,0.08945116011050612,152.0,negative
5,0.07380177009334715,186.0,negative
6,0.05003144470631097,125.0,negative
7,0.10886924542750466,113.0,negative
8,0.09305258962573863,25.0,negative
9,0.0010918109111083434,15.0,negative
10,0.06745777543489294,276.0,negative
11,0.06120679090273959,205.0,negative
12,0.047799582781926156,138.0,negative
13,0.05831483187970573,46.0,negative
14,0.07486146773893733,68.0,negative
15,0.108989735362525,305.0,negative
16,0.07640631438708076,102.0,negative
17,0.08966621468655417,168.0,negative
18,0.04144848750136486,14.0,negative
19,0.03215396371662068,13.0,negative
20,0.08350132018288549,138.0,negative
average,0.06685361729796073,122.55,negative
