run_index,spearman r,best_dim,mask_type
1,0.1469454364168923,5.0,all
2,0.10655947169447855,9.0,all
3,0.09851485318373317,7.0,all
4,0.08445217330490164,8.0,all
5,0.10774970998271567,113.0,all
6,0.08929449969451797,6.0,all
7,0.11312688459549423,10.0,all
8,0.138056178986355,6.0,all
9,0.0915583626280702,12.0,all
10,0.07450817234040999,4.0,all
11,0.14120157945770348,11.0,all
12,0.038085800314983015,7.0,all
13,0.10894457482676857,9.0,all
14,0.1290508177266938,6.0,all
15,0.16213958717278384,10.0,all
16,0.1071344119002742,8.0,all
17,0.12939237067171389,6.0,all
18,0.14649622056903286,5.0,all
19,0.1300991749699139,6.0,all
20,0.16802120140257915,10.0,all
average,0.11556657409200077,12.9,all
