run_index,spearman r,best_dim,mask_type
1,0.06099745292923536,68.0,all
2,0.039512464773187,46.0,all
3,0.05396565069348541,205.0,all
4,0.06746868712536257,205.0,all
5,0.09773914062419048,125.0,all
6,0.027056399024394558,372.0,all
7,0.02902840626121675,205.0,all
8,0.06478933557132292,305.0,all
9,0.07103477399609602,186.0,all
10,0.022116552387614587,411.0,all
11,0.06733748608241799,168.0,all
12,0.0031636079642658552,83.0,all
13,0.03835762079718746,168.0,all
14,0.07631234146456198,337.0,all
15,0.056949376231038684,276.0,all
16,0.06961447907951725,102.0,all
17,0.046728702659430056,186.0,all
18,0.1014031418644598,500.0,all
19,0.0075102918977959735,226.0,all
20,0.04435346433159502,38.0,all
average,0.05227196878791879,210.6,all
