run_index,spearman r,best_dim,mask_type
1,0.0006685733491110917,3.0,negative
2,0.023793548622711644,276.0,negative
3,-0.007255179177660453,500.0,negative
4,0.011161289550738715,11.0,negative
5,0.033093440422512346,19.0,negative
6,0.022754847301914818,3.0,negative
7,0.030961291210497517,51.0,negative
8,0.011394857370891354,500.0,negative
9,0.051406756849737695,17.0,negative
10,0.005308522257262329,10.0,negative
11,0.07501097996379529,6.0,negative
12,0.003662291927589767,276.0,negative
13,-0.008119619867747787,372.0,negative
14,0.022148572104354676,453.0,negative
15,0.040718441297338696,9.0,negative
16,0.024542016551646298,9.0,negative
17,0.027039780971718608,38.0,negative
18,0.009847716419465366,10.0,negative
19,0.030855291513397075,10.0,negative
20,0.050773950621896526,8.0,negative
average,0.02298836846305858,129.05,negative
