run_index,spearman r,best_dim,mask_type
1,0.028694379729610732,305.0,positive
2,0.016552730240859237,186.0,positive
3,0.03932570834213095,75.0,positive
4,0.0426647338387875,250.0,positive
5,0.0032868897921291876,125.0,positive
6,0.017116526354494625,68.0,positive
7,0.06814091913920005,453.0,positive
8,0.0664782159048009,226.0,positive
9,0.05579431421548866,83.0,positive
10,0.07391280459357367,250.0,positive
11,0.06314292203108329,453.0,positive
12,0.0013300909329142603,250.0,positive
13,0.0240698380478643,62.0,positive
14,0.030595934749481322,138.0,positive
15,0.019740811124345583,250.0,positive
16,0.04334228861730369,68.0,positive
17,0.01410341298846002,68.0,positive
18,0.040931041363516066,138.0,positive
19,0.05679049003591689,152.0,positive
20,0.013927663784407598,372.0,positive
average,0.035997085791318426,198.6,positive
