run_index,spearman r,best_dim,mask_type
1,0.019285208430880777,411.0,negative
2,-0.013724861809796854,5.0,negative
3,0.025360720843743235,125.0,negative
4,-0.020526619152435175,2.0,negative
5,0.02102557027725489,500.0,negative
6,0.014242163191857768,113.0,negative
7,0.009035603388817336,21.0,negative
8,-0.04376539143647273,337.0,negative
9,-0.021613732312912012,453.0,negative
10,0.03747451474694176,168.0,negative
11,0.06002324012385469,205.0,negative
12,-0.018308271257085378,102.0,negative
13,-0.018087258600018582,75.0,negative
14,0.009186076428735595,12.0,negative
15,0.02003935096268966,12.0,negative
16,0.005228702012525944,75.0,negative
17,0.021609833348518476,3.0,negative
18,-0.011792594610945435,250.0,negative
19,-0.023822928343151913,205.0,negative
20,0.0015300085299106592,102.0,negative
average,0.003619966738145636,158.8,negative
