run_index,spearman r,best_dim,mask_type
1,0.0862333312098303,168.0,all
2,0.07697950502003185,102.0,all
3,0.09980426027157807,15.0,all
4,0.08534332763515766,138.0,all
5,0.08066430938548254,14.0,all
6,0.097736038854672,113.0,all
7,0.09566823135830638,125.0,all
8,0.07395635031311183,102.0,all
9,0.08693782396969497,15.0,all
10,0.09443424586213285,75.0,all
11,0.10643247220341748,62.0,all
12,0.06512282090041455,19.0,all
13,0.11695314173903393,125.0,all
14,0.08126592196247598,56.0,all
15,0.061169893691389504,152.0,all
16,0.1447705460893174,276.0,all
17,0.07834346156591013,56.0,all
18,0.09165874586060103,168.0,all
19,0.09403091052560542,15.0,all
20,0.07759467000663096,68.0,all
average,0.08975500042123975,93.2,all
