run_index,spearman r,best_dim,mask_type
1,0.1022664288919239,15.0,all
2,0.07471172836774516,10.0,all
3,0.04355693916360059,4.0,all
4,0.06141013516525633,23.0,all
5,0.07111728945689387,10.0,all
6,0.006414501401800923,23.0,all
7,0.10434186111361025,25.0,all
8,0.06240264847316755,19.0,all
9,0.040415025833752165,38.0,all
10,0.058345793397851155,10.0,all
11,0.011923333189503728,5.0,all
12,0.03973388222927954,28.0,all
13,0.09309512846320887,2.0,all
14,0.10168470262380405,19.0,all
15,0.07775301535715047,23.0,all
16,0.05139570318402449,28.0,all
17,0.06368436950953807,19.0,all
18,0.08166786825203932,25.0,all
19,0.06825424687053223,17.0,all
20,0.03205546470134639,10.0,all
average,0.062311503282301464,17.65,all
