run_index,spearman r,best_dim,mask_type
1,0.06567419494159606,11.0,negative
2,0.023300326730609035,21.0,negative
3,0.043359271644843836,3.0,negative
4,0.08383541263536327,10.0,negative
5,0.08779759339037367,21.0,negative
6,0.035721509204456624,12.0,negative
7,0.025217072515420998,2.0,negative
8,0.07055967352034505,31.0,negative
9,0.02987694163087891,21.0,negative
10,0.054288575621307664,19.0,negative
11,0.049747398157412165,12.0,negative
12,0.06918448251774315,5.0,negative
13,0.03318736688084368,28.0,negative
14,0.04238517704924755,21.0,negative
15,0.04953371598447399,19.0,negative
16,0.042119735551195116,5.0,negative
17,0.07107441166182797,6.0,negative
18,0.0695085700142091,14.0,negative
19,0.05231749905268159,9.0,negative
20,0.07345233205690456,12.0,negative
average,0.0536070630380867,14.1,negative
