run_index,spearman r,best_dim,mask_type
1,0.078097143554422,186.0,positive
2,0.07680288069881953,23.0,positive
3,0.1103155905608741,46.0,positive
4,0.06471501648843793,31.0,positive
5,0.06466517491740328,42.0,positive
6,0.05274028148574432,305.0,positive
7,0.09077788069130126,46.0,positive
8,0.05077830430728739,51.0,positive
9,0.05212670942918639,25.0,positive
10,0.11473510589636067,226.0,positive
11,0.07894115383721041,34.0,positive
12,0.08447831061034569,31.0,positive
13,0.10137030714523164,56.0,positive
14,0.05844009752778327,62.0,positive
15,0.05957217070391068,51.0,positive
16,0.04820137884978873,46.0,positive
17,0.054449856671033504,3.0,positive
18,0.08142070690458046,226.0,positive
19,0.08237946438635536,205.0,positive
20,0.0708453948930921,226.0,positive
average,0.07379264647795843,96.05,positive
