run_index,spearman r,best_dim,mask_type
1,0.08237010105662601,40.0,all
2,0.055657631835827545,37.0,all
3,0.0817083997420538,34.0,all
4,0.06993950939934876,85.0,all
5,0.059897591006608776,100.0,all
6,0.07798201987118777,62.0,all
7,0.11496179203255191,78.0,all
8,0.08303306096805319,65.0,all
9,0.04457633257569984,95.0,all
10,0.08437040865892902,47.0,all
11,0.060047215680628735,59.0,all
12,0.08547060416066221,47.0,all
13,0.07846516792623337,44.0,all
14,0.041031602208334426,68.0,all
15,0.10399466617077283,40.0,all
16,0.09364993320316042,23.0,all
17,0.07101807426311835,67.0,all
18,0.06674899029971622,72.0,all
19,0.09315563962691632,100.0,all
20,0.07360398831843176,32.0,all
average,0.07608413645024308,59.75,all
