run_index,spearman r,best_dim,mask_type
1,0.0891294297371568,38.0,positive
2,0.053646030500287975,56.0,positive
3,0.09755214846200985,23.0,positive
4,0.0645811120199802,75.0,positive
5,0.08776686734538873,51.0,positive
6,0.08937976009224319,46.0,positive
7,0.09113955441352715,34.0,positive
8,0.0486501034657387,21.0,positive
9,0.06030374029111092,68.0,positive
10,0.08500790787748494,42.0,positive
11,0.07780802307742049,31.0,positive
12,0.07837162575531914,38.0,positive
13,0.10331030137503362,51.0,positive
14,0.04908637504461127,68.0,positive
15,0.0614623105054424,62.0,positive
16,0.06615640263329516,56.0,positive
17,0.029821844492431103,62.0,positive
18,0.04444165049015726,51.0,positive
19,0.06592953562362712,42.0,positive
20,0.05037935781172587,34.0,positive
average,0.06969620405069958,47.45,positive
